"mal_id","title_english","type","source","airing","year","rating","score","members","favorites","producers","licensors","studios","genres"
55693,"Soul of Light","ONA","Web novel",FALSE,2023,"PG-13 - Teens 13 or older",6.79,1047,2,"Youku","","Wonder Cat Animation","Action, Fantasy"
56064,"Challenge the World!","PV","Game",FALSE,2023,"G - All Ages",6.57,1041,1,"Kassen, Soranone","","CoMix Wave Films",""
53079,"Cute Executive Officer R","ONA","Manga",FALSE,2023,"PG-13 - Teens 13 or older",NA,1040,1,"Magic Capsule, Fabtone","","Project No.9","Comedy"
55864,"Legend of Yang Chen","ONA","Web novel",FALSE,2023,"PG-13 - Teens 13 or older",6.78,1013,4,"Youku","","Ruo Hong Culture","Action, Adventure, Fantasy"
55826,"Seishun Archive","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",7.16,955,5,"Hololive Production","","Studio Kai",""
55740,"The Land of Miracles 3rd Season","ONA","Web novel",FALSE,2023,"PG-13 - Teens 13 or older",7.49,918,8,"iQIYI, High Energy Studio","","CG Year","Action, Fantasy"
51291,"The Fallen Master","ONA","Web manga",FALSE,2023,"PG-13 - Teens 13 or older",6.76,908,2,"Tencent Animation & Comics, Tencent Penguin Pictures","","Medo","Action, Adventure, Fantasy"
56720,"Atelier","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",6.44,893,4,"OLM, Hololive Production","","INTERFACEDOGS",""
56006,"Twilight Little Star","Music","Original",FALSE,2023,"G - All Ages",5.96,881,1,"","","","Romance"
56702,"Gamera VS Kozamera","ONA","Other",FALSE,2023,"G - All Ages",6.28,871,1,"","","ENGI","Comedy"
56376,"Uchi no Kaisha no Chiisai Senpai no Hanashi Mini Anime","ONA","Web manga",FALSE,2023,"PG-13 - Teens 13 or older",5.68,869,5,"","","AQUA ARIS","Comedy"
56558,"Eldraine no Mori: Twin Fates","ONA","Card game",FALSE,2023,"PG-13 - Teens 13 or older",6.19,850,0,"Pierrot, Maxilla","","Qzil.la","Action, Fantasy"
55829,"Sword Saint of The Ten Realms","ONA","Web novel",FALSE,2023,"PG-13 - Teens 13 or older",6.66,827,1,"Tencent Penguin Pictures","","Cloud Culture","Action, Adventure, Fantasy"
56695,"Beryl and Sapphire 3rd Season","ONA","Web manga",FALSE,2023,"PG-13 - Teens 13 or older",6.69,810,2,"","","","Boys Love, Comedy, Drama, Fantasy"
56774,"Wangzhe Da Shixiong","ONA","Novel",FALSE,2023,"PG-13 - Teens 13 or older",7.08,797,5,"Tencent Animation & Comics","","Qiyuan Yinghua","Action, Adventure, Fantasy"
56457,"Kororon","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",7.4,779,6,"","","",""
56439,"Three Thousand Roads 2nd Season","ONA","Novel",FALSE,2023,"PG-13 - Teens 13 or older",7.01,776,1,"","","Tang Kirin Culture","Action, Adventure, Fantasy"
55939,"Synduality: Kagaku Kouza","ONA","Mixed media",FALSE,2023,"PG-13 - Teens 13 or older",5.79,732,2,"","","Studio PuYUKAI","Comedy, Sci-Fi"
55738,"Monster Diner","ONA","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,657,0,"bilibili","","Shykeumo Animation Studio","Comedy, Gourmet"
55999,"Skysonar","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",6.5,651,2,"OLM, Hololive Production","","INTERFACEDOGS",""
58074,"Bleeding Hearts","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",7,645,0,"","","",""
56621,"Hiten","Music","Original",FALSE,2023,"G - All Ages",5.93,616,11,"","","","Avant Garde"
56246,"Thrud","ONA","Game",FALSE,2023,"PG-13 - Teens 13 or older",NA,610,1,"bilibili","","Shengying Animation","Action, Fantasy"
55908,"Golden Ray","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",6.34,594,1,"","","Studio Gohan",""
56157,"The Westward 5th Season","ONA","Manga",FALSE,2023,"PG-13 - Teens 13 or older",NA,581,0,"Tencent Penguin Pictures","","BYMENT","Action, Adventure, Fantasy"
56342,"The Legend of Magic Outfit","ONA","Original",FALSE,2023,"PG-13 - Teens 13 or older",6.34,575,0,"Tencent Penguin Pictures","","Ruo Hong Culture","Action, Adventure, Fantasy"
56890,"Show","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",7.4,549,2,"","","","Supernatural"
57694,"Yoru Mac PoteNage CMs","CM","Original",FALSE,2023,"G - All Ages",6.74,545,5,"","","","Gourmet, Slice of Life"
57453,"Gekka","Music","Original",FALSE,2023,"G - All Ages",5.75,522,0,"","","",""
56578,"Spiritual Lord of Chaos","ONA","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,519,0,"iQIYI","","Suoyi Technology","Action, Adventure, Fantasy"
56579,"Carpenter Assassin","ONA","Unknown",FALSE,2023,"PG-13 - Teens 13 or older",6.38,496,1,"","","Yi Chen Animation","Action, Adventure, Fantasy"
56164,"Hypersonic Music Club","ONA","Web manga",FALSE,2023,"PG-13 - Teens 13 or older",6.15,484,1,"","","","Sci-Fi"
58075,"Piercing the Dawn of Time","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",6.73,465,0,"","","",""
56861,"Pokemon Playground","ONA","Game",FALSE,2023,"PG - Children",5.57,462,0,"","","","Fantasy"
56773,"Wan Jie Zhizun 2nd Season","ONA","Unknown",TRUE,2023,"PG-13 - Teens 13 or older",NA,460,4,"iQIYI","","Ruo Hong Culture","Action, Adventure, Fantasy"
56035,"Renjo Shiika","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",6.28,458,1,"Hololive Production","","",""
54945,"30,000 Miles From Chang'an","Movie","Original",FALSE,2023,NA,6.9,455,6,"","","Light Chaser Animation Studios",""
55920,"Duck's Little Adventure","ONA","Original",FALSE,2023,"G - All Ages",5.93,445,5,"","","","Adventure, Slice of Life"
56186,"Six Feet Under","Music","Other",FALSE,2023,"R - 17+ (violence & profanity)",5.86,414,0,"","","BUDDHA INC.","Horror"
56435,"Soirée","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",6.64,407,2,"Hololive Production","","",""
57398,"Azur Lane 5th Anniversary: The Best Gift From Enterprise","ONA","Game",FALSE,2023,"G - All Ages",5.82,407,0,"","","","Slice of Life"
56176,"Kyozou no Carousel","Music","Other",FALSE,2023,"PG-13 - Teens 13 or older",5.97,404,0,"","","Maxilla","Supernatural"
56782,"Neo","Music","Game",FALSE,2023,"PG-13 - Teens 13 or older",6.66,387,0,"","","Studio Matomo",""
