"title_english","type","source","year","rating","score","members","favorites","studios","genres"
"Granblue Fantasy: The Animation Season 2","TV","Game",2019,"PG-13 - Teens 13 or older",6.73,71139,80,"MAPPA","Action, Adventure, Fantasy"
"After School Dice Club","TV","Manga",2019,"PG-13 - Teens 13 or older",6.71,52533,90,"LIDENFILMS","Comedy"
"Fairy gone Season 1 Part 2","TV","Original",2019,"PG-13 - Teens 13 or older",6.35,50732,45,"P.A. Works","Action, Fantasy"
"Fragtime","Movie","Manga",2019,"PG-13 - Teens 13 or older",6.56,50449,121,"Tear Studio, East Fish Studio","Girls Love, Supernatural"
"Special 7: Special Crime Investigation Unit","TV","Original",2019,"PG-13 - Teens 13 or older",6.09,50149,44,"Anima&Co.","Action, Fantasy, Mystery"
"Outburst Dreamer Boys","TV","Novel",2019,"PG-13 - Teens 13 or older",6.76,49109,167,"Studio Deen","Comedy"
"Re:ZERO -Starting Life in Another World- The Frozen Bond: Manner Movie","Movie","Light novel",2019,"G - All Ages",7.55,47516,93,"Studio PuYUKAI","Fantasy"
"Kandagawa Jet Girls","TV","Mixed media",2019,"R+ - Mild Nudity",5.75,46138,59,"TNK","Sci-Fi, Ecchi"
"Ani ni Tsukeru Kusuri wa Nai! 3","TV","Web manga",2019,"PG-13 - Teens 13 or older",7.68,41091,48,"Fanworks","Comedy"
"Chidori RSC","TV","4-koma manga",2019,"PG-13 - Teens 13 or older",6.21,40869,41,"Studio 3Hz","Comedy, Sports"
"Lupin III: The First","Movie","Manga",2019,"PG-13 - Teens 13 or older",7.8,34944,185,"TMS Entertainment, Marza Animation Planet","Action, Adventure, Comedy, Mystery"
"Seven Days War","Movie","Novel",2019,"G - All Ages",6.63,32557,54,"Ajia-do","Action, Comedy, Drama"
"Stand My Heroes: Piece of Truth","TV","Game",2019,"PG-13 - Teens 13 or older",5.79,28671,91,"M.S.C","Mystery, Romance"
"Legend of the Galactic Heroes: Die Neue These - Stellar War Part 3","Movie","Novel",2019,"R - 17+ (violence & profanity)",8.28,28123,109,"Production I.G","Drama, Sci-Fi"
"Africa Salaryman","TV","Web manga",2019,"PG-13 - Teens 13 or older",6.55,27968,71,"HOTZIPANG","Comedy"
"Legend of the Galactic Heroes: Die Neue These - Stellar War Part 2","Movie","Novel",2019,"R - 17+ (violence & profanity)",8.17,27508,56,"Production I.G","Drama, Sci-Fi"
"Phantasy Star Online 2: Episode Oracle","TV","Game",2019,"PG-13 - Teens 13 or older",6.5,27328,41,"Gonzo","Action, Sci-Fi"
"Human Lost: Ningen Shikkaku","Movie","Novel",2019,"R - 17+ (violence & profanity)",5.78,21036,42,"Polygon Pictures","Drama, Sci-Fi, Suspense"
"Bananya and the Curious Bunch","TV","Original",2019,"G - All Ages",6.62,17126,45,"TMS Entertainment, Gathering","Slice of Life"
"Z/X: Code Reunion","TV","Card game",2019,"PG-13 - Teens 13 or older",5.8,14695,23,"Passione","Fantasy, Sci-Fi"
"True Cooking Master Boy","TV","Manga",2019,"PG-13 - Teens 13 or older",6.45,12449,15,"Production I.G, Nihon Ad Systems","Comedy, Gourmet"
"Tenka Hyakken: Meiji-kan e Youkoso!","TV","Game",2019,"PG-13 - Teens 13 or older",5.03,9151,11,"LIDENFILMS","Action, Adventure, Fantasy"
"Kimi dake ni Motetainda.","Movie","Original",2019,"PG-13 - Teens 13 or older",5.3,9088,10,"Signal.MD","Drama, Slice of Life"
"Strike Witches: 501 Butai Hasshin Shimasu! Movie","Movie","Manga",2019,"PG-13 - Teens 13 or older",6.7,6961,6,"Acca effe, Giga Production","Comedy, Sci-Fi"
"Aikatsu on Parade!","TV","Game",2019,"PG - Children",7.03,6911,32,"Bandai Namco Pictures","Slice of Life"
"Days of Urashimasakatasen","TV","Music",2019,"PG-13 - Teens 13 or older",6.12,6207,38,"Gainax Kyoto","Comedy"
