"title_english","type","source","year","rating","score","members","favorites","studios","genres"
"Assassination Classroom","TV","Manga",2015,"PG-13 - Teens 13 or older",8.08,2108251,30558,"Lerche","Action, Comedy"
"Death Parade","TV","Original",2015,"R - 17+ (violence & profanity)",8.14,1840799,29080,"Madhouse","Drama, Fantasy, Suspense"
"Tokyo Ghoul √A","TV","Manga",2015,"R - 17+ (violence & profanity)",7.02,1830928,10594,"Pierrot","Action, Fantasy, Horror, Suspense"
"JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt","TV","Manga",2015,"R - 17+ (violence & profanity)",8.44,1171420,21305,"David Production","Action, Adventure"
"Kuroko's Basketball 3","TV","Manga",2015,"PG-13 - Teens 13 or older",8.29,793567,5143,"Production I.G","Sports"
"The Testament of Sister New Devil","TV","Light novel",2015,"R+ - Mild Nudity",6.69,705697,2143,"Production IMS","Action, Supernatural, Ecchi"
"Saekano: How to Raise a Boring Girlfriend","TV","Light novel",2015,"PG-13 - Teens 13 or older",7.47,689778,4481,"A-1 Pictures","Comedy, Romance, Ecchi"
"Absolute Duo","TV","Light novel",2015,"R - 17+ (violence & profanity)",6.41,573711,1562,"8bit","Action, Fantasy, Romance, Ecchi"
"Durarara!! x2 Shou","TV","Light novel",2015,"R - 17+ (violence & profanity)",7.97,498111,1005,"Shuka","Action, Mystery, Supernatural"
"Kamisama Kiss Season 2","TV","Manga",2015,"PG-13 - Teens 13 or older",8.23,436980,3526,"TMS Entertainment","Comedy, Romance, Supernatural"
"World Break: Aria of Curse for a Holy Swordsman","TV","Light novel",2015,"R - 17+ (violence & profanity)",6.75,324184,892,"Diomedéa","Action, Fantasy, Romance"
"Aldnoah.Zero","TV","Original",2015,"R - 17+ (violence & profanity)",6.91,317721,755,"A-1 Pictures, TROYCA","Action, Sci-Fi"
"Psycho-Pass: The Movie","Movie","Original",2015,"R - 17+ (violence & profanity)",7.69,282240,555,"Production I.G","Action, Sci-Fi"
"KanColle","TV","Game",2015,"PG-13 - Teens 13 or older",6.82,222480,1339,"Diomedéa","Action, Sci-Fi"
"Beyond the Boundary: I'll Be Here - Past","Movie","Light novel",2015,"PG-13 - Teens 13 or older",7.72,171743,262,"Kyoto Animation","Action, Supernatural"
"Unlimited Fafnir","TV","Light novel",2015,"PG-13 - Teens 13 or older",6.16,162098,175,"Diomedéa","Action, Fantasy, Romance"
"Maria the Virgin Witch","TV","Manga",2015,"R - 17+ (violence & profanity)",7.1,158851,255,"Production I.G","Comedy, Fantasy, Romance"
"Isuca","TV","Manga",2015,"R+ - Mild Nudity",5.96,153364,101,"Arms","Action, Comedy, Romance, Supernatural, Ecchi"
"Yurikuma Arashi","TV","Original",2015,"R - 17+ (violence & profanity)",7.03,106011,764,"SILVER LINK.","Avant Garde, Drama, Fantasy, Girls Love, Ecchi"
"The Rolling Girls","TV","Original",2015,"PG-13 - Teens 13 or older",6.58,92167,215,"Wit Studio","Action, Adventure, Sci-Fi"
"Cute High Earth Defense Club LOVE!","TV","Original",2015,"PG-13 - Teens 13 or older",6.82,84965,530,"Diomedéa","Comedy"
"Gourmet Girl Graffiti","TV","4-koma manga",2015,"PG-13 - Teens 13 or older",6.8,81539,160,"Shaft","Gourmet, Slice of Life"
"THE IDOLM@STER CINDERELLA GIRLS","TV","Game",2015,"PG-13 - Teens 13 or older",7.16,78191,468,"A-1 Pictures","Comedy, Drama"
"Dog Days''","TV","Original",2015,"PG-13 - Teens 13 or older",6.85,76655,79,"Seven Arcs Pictures","Action, Adventure, Fantasy"
"The Case of Hana & Alice","Movie","Original",2015,"PG-13 - Teens 13 or older",7.24,47422,245,"Steve N' Steven, Rockwell Eyes","Award Winning, Drama, Mystery"
"Military!","TV","4-koma manga",2015,"PG-13 - Teens 13 or older",5.79,44133,56,"Creators in Pack","Comedy, Ecchi"
"Yatterman Night","TV","Original",2015,"PG-13 - Teens 13 or older",6.5,33344,34,"Tatsunoko Production","Action, Adventure, Comedy, Drama"
"Aoki Hagane no Arpeggio: Ars Nova Movie 1 - DC","Movie","Manga",2015,"PG-13 - Teens 13 or older",7.38,27805,47,"SANZIGEN","Action, Sci-Fi"
"Samurai Warriors","TV","Game",2015,"PG-13 - Teens 13 or older",6.52,24009,41,"Tezuka Productions, TYO Animations","Action"
"Fafner Exodus","TV","Original",2015,"PG-13 - Teens 13 or older",7.37,23554,78,"I.Gzwei","Action, Drama, Sci-Fi"
"Aki no Kanade","Movie","Original",2015,"PG-13 - Teens 13 or older",6.93,22943,26,"J.C.Staff","Slice of Life"
"Go! Princess Pretty Cure","TV","Original",2015,"G - All Ages",7.81,20472,359,"Toei Animation","Action, Comedy"
"Appleseed Alpha","Movie","Manga",2015,"R - 17+ (violence & profanity)",6.94,19864,35,"Sola Digital Arts","Action, Adventure, Sci-Fi"
"Music Girl","Movie","Original",2015,"PG-13 - Teens 13 or older",6.19,13257,10,"Studio Deen","Slice of Life"
"Knights of Sidonia: The Movie","Movie","Manga",2015,"R+ - Mild Nudity",7.24,12887,13,"Polygon Pictures","Action, Sci-Fi"
"Tantei Kageki Milky Holmes TD","TV","Original",2015,"PG-13 - Teens 13 or older",6.44,9909,9,"J.C.Staff, Nomad","Comedy, Mystery"
"Shounen Hollywood: Holly Stage for 50","TV","Mixed media",2015,"PG-13 - Teens 13 or older",6.47,7240,9,"Zexcs","Drama"
"Doraemon Movie 35: Nobita no Space Heroes","Movie","Unknown",2015,"PG - Children",7.14,6602,3,"Shin-Ei Animation","Comedy, Sci-Fi"
"Ketsuekigata-kun! 2","TV","Web manga",2015,"PG-13 - Teens 13 or older",6.39,5397,5,"feel., Assez Finaud Fabric","Comedy"
"Precure All Stars Movie: Haru no Carnival♪","Movie","Original",2015,"G - All Ages",6.53,4385,4,"Toei Animation","Action, Comedy"
"Doamayger-D","TV","Original",2015,"G - All Ages",5.35,2250,1,"ILCA","Action, Comedy, Gourmet"
"Kumi to Tulip","Movie","Original",2015,"G - All Ages",5.99,2191,1,"Tezuka Productions","Sci-Fi"
"Happy ComeCome","Movie","Original",2015,"G - All Ages",5.38,1735,0,"SynergySP","Comedy, Sci-Fi, Slice of Life"
"Q Transformers: Kaette Kita Convoy no Nazo","TV","Other",2015,"PG-13 - Teens 13 or older",5.41,1370,1,"DLE","Action, Slice of Life"
"Yuuyake Dandan","Movie","Original",2015,"G - All Ages",5.92,1254,2,"Dynamo Pictures","Slice of Life"
"One Hundred Thousand Bad Jokes","Movie","Web manga",2015,"PG-13 - Teens 13 or older",6.33,851,1,"L²Studio","Action, Adventure, Comedy, Fantasy"
"Forest this flower bloom","Movie","Original",2015,"G - All Ages",6.06,831,1,"Tomoyasu Murata Company","Avant Garde"
"Pankis! 2-jigen","TV","Original",2015,"G - All Ages",5.74,788,0,"DLE","Comedy"
"Mobile Suit Gundam-san: Manner Movies CM","Movie","Unknown",2015,"PG-13 - Teens 13 or older",5.59,515,0,"Sunrise","Comedy"
"Food Wars! Shokugeki no Soma","TV","Manga",2015,"PG-13 - Teens 13 or older",8.13,1693894,23660,"J.C.Staff","Gourmet, Ecchi"
"Is It Wrong to Try to Pick Up Girls in a Dungeon?","TV","Light novel",2015,"PG-13 - Teens 13 or older",7.53,1593389,12409,"J.C.Staff","Action, Adventure, Fantasy"
"Seraph of the End: Vampire Reign","TV","Manga",2015,"R - 17+ (violence & profanity)",7.48,1393104,14137,"Wit Studio","Action, Drama, Fantasy"
"My Teen Romantic Comedy SNAFU TOO!","TV","Light novel",2015,"PG-13 - Teens 13 or older",8.2,1109399,16002,"feel.","Comedy, Romance"
"Plastic Memories","TV","Original",2015,"PG-13 - Teens 13 or older",7.91,983954,12349,"Doga Kobo","Drama, Romance, Sci-Fi"
"Blood Blockade Battlefront","TV","Manga",2015,"R - 17+ (violence & profanity)",7.59,910355,8120,"Bones","Action, Fantasy"
"Fate/stay night [Unlimited Blade Works] Season 2","TV","Visual novel",2015,"R - 17+ (violence & profanity)",8.32,883449,9412,"ufotable","Action, Fantasy"
"High School DxD BorN","TV","Light novel",2015,"R+ - Mild Nudity",7.41,825910,3912,"TNK","Action, Comedy, Romance, Supernatural, Ecchi"
"Yamada-kun and the Seven Witches","TV","Manga",2015,"PG-13 - Teens 13 or older",7.53,820935,4213,"LIDENFILMS","Comedy, Mystery, Romance, Supernatural"
"Nisekoi: False Love Season 2","TV","Manga",2015,"PG-13 - Teens 13 or older",7.34,719740,1850,"Shaft","Comedy, Romance"
"My Love Story!!","TV","Manga",2015,"PG-13 - Teens 13 or older",7.89,704502,5292,"Madhouse","Comedy, Romance"
"Gintama Season 4","TV","Manga",2015,"PG-13 - Teens 13 or older",9.05,658071,17060,"Bandai Namco Pictures","Action, Comedy, Sci-Fi"
"Sound! Euphonium","TV","Novel",2015,"PG-13 - Teens 13 or older",8.02,486779,7820,"Kyoto Animation","Drama"
"The Eden of Grisaia","TV","Visual novel",2015,"R - 17+ (violence & profanity)",7.73,424992,2073,"8bit","Drama, Romance, Suspense"
"The Heroic Legend of Arslan","TV","Manga",2015,"R - 17+ (violence & profanity)",7.65,386076,1763,"SANZIGEN, LIDENFILMS","Action, Adventure, Drama, Fantasy"
"Beyond the Boundary: I'll Be Here - Future","Movie","Light novel",2015,"PG-13 - Teens 13 or older",8.14,271348,1061,"Kyoto Animation","Action, Romance, Supernatural"
"Punch Line","TV","Original",2015,"PG-13 - Teens 13 or older",6.89,240292,642,"MAPPA","Comedy, Sci-Fi, Supernatural, Ecchi"
"I Can't Understand What My Husband Is Saying: 2nd Thread","TV","4-koma manga",2015,"PG-13 - Teens 13 or older",7.31,204730,187,"Seven","Comedy, Romance"
"Dragon Ball Z: Resurrection 'F'","Movie","Manga",2015,"PG-13 - Teens 13 or older",7.03,190884,141,"Toei Animation","Action, Adventure, Comedy, Fantasy"
"Triage X","TV","Manga",2015,"R+ - Mild Nudity",6.31,171666,309,"Xebec","Action, Adventure, Ecchi"
"Ultimate Otaku Teacher","TV","Manga",2015,"PG-13 - Teens 13 or older",6.86,159557,325,"A-1 Pictures","Comedy, Romance"
"Ace of Diamond: Second Season","TV","Manga",2015,"PG-13 - Teens 13 or older",8.3,143332,1099,"Production I.G, Madhouse","Sports"
"The Disappearance of Nagato Yuki-chan","TV","Manga",2015,"PG-13 - Teens 13 or older",6.72,142665,317,"Satelight","Comedy, Romance"
"Attack on Titan: Wings of Freedom","Movie","Manga",2015,"R - 17+ (violence & profanity)",7.94,142002,278,"Wit Studio","Action, Drama, Suspense"
"Love Live! The School Idol Movie","Movie","Original",2015,"PG-13 - Teens 13 or older",7.91,134427,1217,"Sunrise","Award Winning, Slice of Life"
"Mushishi Zoku Shou: Suzu no Shizuku","Movie","Manga",2015,"PG-13 - Teens 13 or older",8.58,133897,233,"Artland","Adventure, Mystery, Slice of Life, Supernatural"
"Knights of Sidonia: Battle for Planet Nine","TV","Manga",2015,"R - 17+ (violence & profanity)",7.71,122073,349,"Polygon Pictures","Action, Sci-Fi"
"Code Geass: Akito the Exiled - The Brightness Falls","Movie","Original",2015,"R - 17+ (violence & profanity)",7.27,118854,105,"Sunrise","Action"
"Baby Steps 2nd Season","TV","Manga",2015,"PG-13 - Teens 13 or older",8,93094,309,"Pierrot","Sports"
"Mikagura School Suite","TV","Mixed media",2015,"PG-13 - Teens 13 or older",6.67,91841,179,"Doga Kobo","Action, Comedy, Girls Love"
"RIN-NE","TV","Manga",2015,"PG-13 - Teens 13 or older",6.88,90411,134,"Brain's Base","Comedy, Supernatural"
"Show By Rock!!","TV","Game",2015,"PG-13 - Teens 13 or older",7.03,89848,378,"Bones","Comedy, Fantasy"
"Etotama","TV","Original",2015,"PG-13 - Teens 13 or older",6.78,81677,139,"Shirogumi, Encourage Films","Action, Comedy, Fantasy"
"Persona 3 the Movie: #3 Falling Down","Movie","Game",2015,"R - 17+ (violence & profanity)",7.59,81566,249,"A-1 Pictures","Action, Supernatural"
"Hello!! KINMOZA!","TV","4-koma manga",2015,"PG-13 - Teens 13 or older",7.49,81479,250,"Studio Gokumi","Slice of Life"
"Gunslinger Stratos: The Animation","TV","Game",2015,"PG-13 - Teens 13 or older",6.04,73687,49,"A-1 Pictures","Action, Sci-Fi"
"RE-KAN!","TV","4-koma manga",2015,"PG-13 - Teens 13 or older",6.76,62105,67,"Pierrot Plus","Comedy, Supernatural"
"Uta no Prince Sama Revolutions","TV","Visual novel",2015,"PG-13 - Teens 13 or older",7,61964,227,"A-1 Pictures","Comedy, Romance"
"Ghost in the Shell: The New Movie","Movie","Manga",2015,"R - 17+ (violence & profanity)",7.42,48925,71,"Production I.G","Action, Award Winning, Mystery, Sci-Fi"
"Ghost in the Shell: Arise - Alternative Architecture","TV","Manga",2015,"R - 17+ (violence & profanity)",7.22,44639,48,"Production I.G","Action, Sci-Fi, Suspense"
"Typhoon Noruda","Movie","Original",2015,"G - All Ages",6.19,42250,36,"Studio Colorido","Award Winning, Drama, Sci-Fi, Supernatural"
"Detective Conan Movie 19: The Sunflowers of Inferno","Movie","Manga",2015,"PG-13 - Teens 13 or older",7.73,41917,55,"TMS Entertainment","Action, Mystery"
"Wish Upon the Pleiades","TV","Original",2015,"PG-13 - Teens 13 or older",6.7,37605,111,"Gainax","Action, Sci-Fi"
"Miss Hokusai","Movie","Manga",2015,"PG-13 - Teens 13 or older",7.16,36724,64,"Production I.G","Award Winning, Drama, Supernatural"
"Rainy Cocoa","TV","Web manga",2015,"PG-13 - Teens 13 or older",4.72,28105,11,"EMT Squared","Slice of Life"
"Mahou Shoujo Lyrical Nanoha ViVid","TV","Manga",2015,"PG-13 - Teens 13 or older",6.72,27776,46,"A-1 Pictures","Action, Adventure"
"Teekyu 4","TV","Manga",2015,"PG-13 - Teens 13 or older",6.67,23484,19,"Millepensee","Comedy"
"Vampire Holmes","TV","Game",2015,"PG-13 - Teens 13 or older",3.33,21738,50,"Studio! Cucuri","Comedy, Mystery, Supernatural"
"Urawa no Usagi-chan","TV","Original",2015,"PG - Children",5.38,17999,8,"A-Real","Comedy"
"Takamiya Nasuno desu! Teekyuu Spin-off","TV","Manga",2015,"PG-13 - Teens 13 or older",6.4,15620,10,"Millepensee","Comedy"
"Tamayura: Sotsugyou Shashin Part 1 - Kizashi","Movie","Original",2015,"G - All Ages",7.61,13432,9,"TYO Animations","Slice of Life"
"Yowamushi Pedal: Re:Road","Movie","Manga",2015,"PG-13 - Teens 13 or older",7.44,11641,7,"TMS Entertainment","Sports"
"JOKER 2nd Season","TV","Manga",2015,"PG - Children",7.28,7069,18,"Shin-Ei Animation","Adventure, Comedy, Mystery"
"Love Live! The School Idol Movie: Gekijou Manner CMs","Movie","Original",2015,"G - All Ages",6.39,5815,6,"Sunrise","Comedy"
"Crayon Shin-chan: My Moving Story - The Great Cactus Attack!","Movie","Manga",2015,"G - All Ages",7.17,5724,3,"Shin-Ei Animation","Action, Adventure, Comedy"
"Animegatari","Movie","Original",2015,"G - All Ages",5.82,5109,1,"Studio Moriken, W-Toon Studio","Comedy"
"Tesagure! Bukatsumono Spin-off Purupurun Sharumu to Asobou","TV","Original",2015,"PG-13 - Teens 13 or older",6.86,4552,15,"Yaoyorozu","Comedy"
"Jewelpet Magical Change","TV","Original",2015,"PG - Children",6.64,3743,14,"Studio Deen","Comedy, Fantasy"
"BAR Kiraware Yasai","TV","4-koma manga",2015,"G - All Ages",4.97,2839,2,"Gathering","Comedy"
"Nar Doma","TV","Web manga",2015,"PG-13 - Teens 13 or older",5.57,2770,3,"Kachidoki Studio","Comedy"
"Usavich Zero","TV","Original",2015,"PG-13 - Teens 13 or older",6,2067,0,"Kanaban Graphics","Comedy"
"Duel Masters VSR","TV","Original",2015,"PG-13 - Teens 13 or older",5.49,1730,2,"Ascension","Action, Adventure, Comedy, Fantasy"
"Pikaia!","TV","Original",2015,"G - All Ages",5.83,1550,1,"Production I.G, OLM","Drama, Slice of Life"
"Sushi and Beyond","TV","Book",2015,"G - All Ages",6.32,1539,3,"Fanworks","Comedy, Gourmet"
"Gon 2nd Season","TV","Manga",2015,"G - All Ages",6.06,808,3,"Daewon Media","Action, Adventure"
"Good Morning!!! Doronjo","TV","Original",2015,"G - All Ages",5.65,736,0,"Oddjob","Comedy"
"Nyuru Nyuru!! Kakusen-kun 2nd Season","TV","Original",2015,"G - All Ages",5.69,649,1,"DLE","Comedy"
"Himitsukessha Taka no Tsume DO","TV","Original",2015,"PG-13 - Teens 13 or older",5.57,613,0,"DLE","Comedy"
"Charlotte","TV","Original",2015,"PG-13 - Teens 13 or older",7.75,1681041,24031,"P.A. Works","Drama"
"Overlord","TV","Light novel",2015,"R - 17+ (violence & profanity)",7.9,1674430,27485,"Madhouse","Action, Adventure, Fantasy"
"Prison School","TV","Manga",2015,"R+ - Mild Nudity",7.59,1055746,7760,"J.C.Staff","Comedy, Ecchi"
"Dragon Ball Super","TV","Manga",2015,"PG-13 - Teens 13 or older",7.46,870302,10995,"Toei Animation","Action, Adventure, Comedy, Fantasy"
"GATE","TV","Light novel",2015,"R - 17+ (violence & profanity)",7.68,844533,6429,"A-1 Pictures","Action, Adventure, Fantasy"
"SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn't Exist","TV","Light novel",2015,"R+ - Mild Nudity",7.21,842735,4014,"J.C.Staff","Comedy, Ecchi"
"Monster Musume: Everyday Life with Monster Girls","TV","Manga",2015,"R+ - Mild Nudity",6.93,777412,4051,"Lerche","Comedy, Fantasy, Romance, Ecchi"
"Himouto! Umaru-chan","TV","Manga",2015,"PG-13 - Teens 13 or older",7.1,714325,4636,"Doga Kobo","Comedy"
"Snow White with the Red Hair","TV","Manga",2015,"PG-13 - Teens 13 or older",7.76,707003,8053,"Bones","Drama, Romance"
"Rokka: Braves of the Six Flowers","TV","Light novel",2015,"PG-13 - Teens 13 or older",7.26,655087,2683,"Passione","Action, Fantasy, Mystery"
"Gangsta.","TV","Manga",2015,"R - 17+ (violence & profanity)",7.41,602773,3960,"Manglobe","Action, Drama"
"God Eater","TV","Game",2015,"R - 17+ (violence & profanity)",7.18,560583,1952,"ufotable","Action, Fantasy, Sci-Fi"
"Boruto: Naruto the Movie","Movie","Manga",2015,"PG-13 - Teens 13 or older",7.38,480787,978,"Pierrot","Action, Adventure, Fantasy"
"School-Live!","TV","Manga",2015,"R - 17+ (violence & profanity)",7.61,467875,5608,"Lerche","Horror, Mystery, Slice of Life, Suspense"
"The Boy and the Beast","Movie","Original",2015,"PG-13 - Teens 13 or older",8.23,439242,3229,"Studio Chizu","Fantasy"
"Durarara!! x2 Ten","TV","Light novel",2015,"R - 17+ (violence & profanity)",7.96,407815,766,"Shuka","Action, Mystery, Supernatural"
"The Anthem of the Heart","Movie","Original",2015,"PG-13 - Teens 13 or older",7.8,343348,2054,"A-1 Pictures","Drama, Romance"
"My Wife is the Student Council President!","TV","Manga",2015,"R+ - Mild Nudity",6.55,310142,460,"Seven","Comedy, Romance, Ecchi"
"Actually, I am...","TV","Manga",2015,"PG-13 - Teens 13 or older",6.83,285135,569,"TMS Entertainment","Comedy, Romance, Supernatural"
"To LOVE Ru Darkness 2","TV","Manga",2015,"R+ - Mild Nudity",7.42,269295,964,"Xebec","Comedy, Romance, Sci-Fi, Ecchi"
"Sky Wizards Academy","TV","Light novel",2015,"PG-13 - Teens 13 or older",6.3,266311,342,"Diomedéa","Action, Drama, Fantasy"
"Wagnaria!!3","TV","4-koma manga",2015,"PG-13 - Teens 13 or older",7.95,255684,952,"A-1 Pictures","Comedy, Romance"
"Ushio & Tora (2015)","TV","Manga",2015,"PG-13 - Teens 13 or older",7.57,233105,718,"MAPPA, Studio VOLN","Action, Adventure, Supernatural"
"Aoharu x Machinegun","TV","Manga",2015,"PG-13 - Teens 13 or older",7.15,223568,1311,"Brain's Base","Sports"
"Date A Live Movie: Mayuri Judgement","Movie","Light novel",2015,"PG-13 - Teens 13 or older",7.32,216276,624,"Production IMS","Action, Fantasy, Romance, Sci-Fi"
"Non Non Biyori Repeat","TV","Manga",2015,"PG-13 - Teens 13 or older",8.18,206678,1265,"SILVER LINK.","Slice of Life"
"Castle Town Dandelion","TV","4-koma manga",2015,"PG-13 - Teens 13 or older",7.15,178396,444,"Production IMS","Comedy"
"Fate/Kaleid Liner Prisma Illya 2Wei Herz!","TV","Manga",2015,"PG-13 - Teens 13 or older",7.15,148941,247,"SILVER LINK.","Action, Comedy"
"Junjo Romantica 3","TV","Manga",2015,"PG-13 - Teens 13 or older",7.59,124564,509,"Studio Deen","Boys Love, Comedy, Drama"
"Classroom☆Crisis","TV","Original",2015,"PG-13 - Teens 13 or older",6.96,124062,202,"Lay-duce","Drama, Romance, Sci-Fi"
"Rampo Kitan: Game of Laplace","TV","Original",2015,"R - 17+ (violence & profanity)",6.57,121628,344,"Lerche","Mystery, Suspense"
"Danchigai","TV","4-koma manga",2015,"PG-13 - Teens 13 or older",6.48,120695,129,"Creators in Pack","Slice of Life"
"Chaos Dragon","TV","Game",2015,"R - 17+ (violence & profanity)",5.61,113708,133,"SILVER LINK., Connect","Action, Fantasy"
"Haikyu!! the Movie: The End and the Beginning","Movie","Manga",2015,"PG-13 - Teens 13 or older",8.07,113035,134,"Production I.G","Sports"
"Code Geass: Akito the Exiled - Memories of Hatred","Movie","Original",2015,"R - 17+ (violence & profanity)",7.21,108110,76,"Sunrise","Action"
"Haikyuu!! the Movie: The Winner and the Loser","Movie","Manga",2015,"PG-13 - Teens 13 or older",8.09,102917,98,"Production I.G","Sports"
"Bikini Warriors","TV","Other",2015,"R+ - Mild Nudity",5.12,96643,188,"feel., PRA","Comedy, Fantasy, Ecchi"
"Gatchaman Crowds Insight","TV","Original",2015,"PG-13 - Teens 13 or older",7.23,77553,197,"Tatsunoko Production","Action, Sci-Fi"
"Pokémon the Movie: Hoopa and the Clash of Ages","Movie","Game",2015,"PG - Children",6.62,59209,18,"OLM","Adventure, Fantasy"
"Seiyu's Life!","TV","Web manga",2015,"PG-13 - Teens 13 or older",7.03,56013,86,"Gonzo","Comedy"
"Symphogear GX","TV","Original",2015,"PG-13 - Teens 13 or older",7.45,49663,397,"Satelight","Action, Sci-Fi"
"Wakaba Girl","TV","4-koma manga",2015,"PG-13 - Teens 13 or older",6.88,45178,68,"Nexus","Slice of Life"
"makuranodanshi","TV","Original",2015,"PG-13 - Teens 13 or older",4.45,43282,59,"feel., Assez Finaud Fabric","Slice of Life"
"Wakakozake","TV","Manga",2015,"PG-13 - Teens 13 or older",6.64,42746,141,"Office DCI","Gourmet, Slice of Life"
"THE IDOLM@STER CINDERELLA GIRLS 2nd SEASON","TV","Game",2015,"PG-13 - Teens 13 or older",7.34,37975,142,"A-1 Pictures","Comedy, Drama"
"Yowamushi Pedal Movie","Movie","Manga",2015,"PG-13 - Teens 13 or older",7.55,33400,27,"TMS Entertainment","Sports"
"Aquarion Logos","TV","Original",2015,"PG-13 - Teens 13 or older",5.7,24563,20,"Satelight","Action, Fantasy, Romance, Sci-Fi"
"Miss Monochrome The Animation 2","TV","Original",2015,"G - All Ages",6.48,21612,7,"SANZIGEN, LIDENFILMS","Comedy"
"Teekyu 5","TV","Manga",2015,"PG-13 - Teens 13 or older",6.66,20701,15,"Millepensee","Comedy"
"Meiji Tokyo Renka Movie 1: Yumihari no Serenade","Movie","Visual novel",2015,"PG-13 - Teens 13 or older",6.7,12771,21,"Studio Deen","Fantasy, Romance"
"Tamayura: Sotsugyou Shashin Part 2 - Hibiki","Movie","Original",2015,"G - All Ages",7.74,11346,11,"TYO Animations","Slice of Life"
"Wake Up, Girls! Seishun no Kage","Movie","Original",2015,"PG-13 - Teens 13 or older",7.13,10713,12,"Ordet, Millepensee","Drama"
"Venus Project: Climax","TV","Game",2015,"PG-13 - Teens 13 or older",5.28,7452,5,"Nomad","Action"
"Pikachu and the Pokemon Music Squad","Movie","Game",2015,"PG - Children",6.24,7096,0,"OLM","Adventure, Fantasy"
"Suzakinishi The Animation","TV","Radio",2015,"PG-13 - Teens 13 or older",5.4,5590,3,"feel.","Comedy, Slice of Life"
"Wooser's Hand-to-Mouth Life: Phantasmagoric Arc","TV","Web manga",2015,"G - All Ages",6.52,5121,4,"SANZIGEN","Comedy, Fantasy, Slice of Life"
"Monkey King: Hero Is Back","Movie","Original",2015,"PG-13 - Teens 13 or older",6.68,3147,5,"October Media","Adventure, Fantasy, Supernatural"
"Kurayami Santa","TV","Original",2015,"PG-13 - Teens 13 or older",5.16,3037,5,"ILCA","Supernatural"
"Sindbad: The Flying Princess and the Secret Island","Movie","Original",2015,"G - All Ages",6.24,2408,0,"Nippon Animation","Adventure"
"Q Transformers: Saranaru Ninki Mono e no Michi","TV","Other",2015,"PG-13 - Teens 13 or older",5.49,939,0,"DLE","Slice of Life"
"Kaijuu Sakaba Kanpai!","TV","Original",2015,"PG - Children",5.59,720,0,"DLE","Comedy, Supernatural"
"Planetarium Chibi Maruko-chan, Hoshi ni Negai wo","Movie","Manga",2015,"G - All Ages",6.39,610,0,"Nippon Animation","Comedy, Slice of Life"
"Kinyoru, Abe Reiji: Heikinteki na Salaryman no Ijou na Nichijou","TV","Radio",2015,"G - All Ages",5.23,594,1,"DLE","Comedy"
"Kaiketsu Zorori Movie: Uchuu no Yuusha-tachi","Movie","Picture book",2015,"PG - Children",6.35,578,1,"Ajia-do, Bandai Namco Pictures","Adventure, Comedy"
"Jungle of Desire","Movie","Original",2015,"R+ - Mild Nudity",5.58,312,0,"Wong Ping Animation Lab","Avant Garde, Erotica"
"One Punch Man","TV","Web manga",2015,"R - 17+ (violence & profanity)",8.49,3356597,65621,"Madhouse","Action, Comedy"
"Noragami Aragoto","TV","Manga",2015,"PG-13 - Teens 13 or older",8.14,1500158,11585,"Bones","Action, Supernatural"
"Haikyu!! 2nd Season","TV","Manga",2015,"PG-13 - Teens 13 or older",8.62,1494045,15915,"Production I.G","Sports"
"Chivalry of a Failed Knight","TV","Light novel",2015,"R - 17+ (violence & profanity)",7.42,992314,8886,"SILVER LINK., Nexus","Action, Fantasy, Romance, Ecchi"
"Seraph of the End: Battle in Nagoya","TV","Manga",2015,"R - 17+ (violence & profanity)",7.61,822271,2977,"Wit Studio","Action, Drama, Fantasy"
"The Asterisk War","TV","Light novel",2015,"PG-13 - Teens 13 or older",6.8,684543,2266,"A-1 Pictures","Action, Comedy, Fantasy, Romance, Ecchi"
"Owarimonogatari","TV","Light novel",2015,"R - 17+ (violence & profanity)",8.45,493847,2960,"Shaft","Comedy, Mystery, Supernatural"
"The Testament of Sister New Devil: Burst","TV","Light novel",2015,"R+ - Mild Nudity",6.79,416920,610,"Production IMS","Action, Supernatural, Ecchi"
"K: Return of Kings","TV","Original",2015,"PG-13 - Teens 13 or older",7.55,341193,1249,"GoHands","Action"
"Anti-Magic Academy: The 35th Test Platoon","TV","Light novel",2015,"R - 17+ (violence & profanity)",6.8,321254,488,"SILVER LINK.","Action, Fantasy, Romance, Ecchi"
"Shomin Sample","TV","Light novel",2015,"PG-13 - Teens 13 or older",6.66,290380,464,"SILVER LINK.","Comedy, Romance, Ecchi"
"Attack on Titan: Junior High","TV","Manga",2015,"PG-13 - Teens 13 or older",7.21,275421,833,"Production I.G","Comedy"
"Mobile Suit Gundam: Iron-Blooded Orphans","TV","Original",2015,"R - 17+ (violence & profanity)",8.06,257191,3475,"Sunrise","Action, Drama, Sci-Fi"
"Beautiful Bones -Sakurako's Investigation-","TV","Novel",2015,"R - 17+ (violence & profanity)",7.42,224582,1004,"TROYCA","Drama, Mystery, Suspense"
"The Perfect Insider","TV","Novel",2015,"R - 17+ (violence & profanity)",7.23,177005,732,"A-1 Pictures","Mystery, Sci-Fi, Suspense"
"Mr. Osomatsu","TV","Original",2015,"R - 17+ (violence & profanity)",7.93,176548,3575,"Pierrot","Comedy"
